parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
75417011,"Peas, from fresh, creamed",11305,"Peas, green, cooked, boiled, drained, without salt",160
75417021,"Peas, cooked, from fresh, with mushroom sauce",1111,"Milk, averaged fat, with added vitamin A and D",30.5
75417021,"Peas, cooked, from fresh, with mushroom sauce",2047,"Salt, table",0.4
75417021,"Peas, cooked, from fresh, with mushroom sauce",6043,"Soup, cream of mushroom, canned, condensed",83.658
75417021,"Peas, cooked, from fresh, with mushroom sauce",11305,"Peas, green, cooked, boiled, drained, without salt",160
75417031,"Peas, cooked, from fresh, with tomato sauce",2047,"Salt, table",0.4
75417031,"Peas, cooked, from fresh, with tomato sauce",11305,"Peas, green, cooked, boiled, drained, without salt",160
75417031,"Peas, cooked, from fresh, with tomato sauce",11549,"Tomato products, canned, sauce",85.658
75418051,"Squash, summer, from fresh, creamed",2047,"Salt, table",0.4
75418051,"Squash, summer, from fresh, creamed",6166,"Sauce, homemade, white, medium",125
75418051,"Squash, summer, from fresh, creamed",11642,"Squash, summer, all varieties, cooked, boiled, drained, without salt",180
75418101,"Turnips, from fresh, creamed",2047,"Salt, table",0.4
75418101,"Turnips, from fresh, creamed",6166,"Sauce, homemade, white, medium",125
75418101,"Turnips, from fresh, creamed",11565,"Turnips, cooked, boiled, drained, without salt",156
22301000,"Ham, fresh, cooked, NS as to fat eaten",2047,"Salt, table, iodized",0.84
22301000,"Ham, fresh, cooked, NS as to fat eaten",10009,"Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted",100
22301110,"Ham, fresh, cooked, lean and fat eaten",2047,"Salt, table, iodized",0.84
22301110,"Ham, fresh, cooked, lean and fat eaten",10009,"Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted",100
22301120,"Ham, fresh, cooked, lean only eaten",2047,"Salt, table, iodized",0.84
22301120,"Ham, fresh, cooked, lean only eaten",10011,"Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted",100
22600200,"Pork bacon, NS as to fresh, smoked or cured, cooked",10862,"Pork, cured, bacon, pre-sliced, cooked, pan-fried",100
22600210,"Pork bacon, NS as to fresh, smoked or cured, reduced sodium, cooked",43378,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",100
22601040,"Bacon or side pork, fresh, cooked",10862,"Pork, cured, bacon, pre-sliced, cooked, pan-fried",100
26153100,"Tuna, fresh, raw",15127,"Fish, tuna, fresh, yellowfin, raw",100
26153110,"Tuna, fresh, cooked, NS as to cooking method",2047,"Salt, table, iodized",3
26153110,"Tuna, fresh, cooked, NS as to cooking method",4322,"Vegetable oil, averaged",14
26153110,"Tuna, fresh, cooked, NS as to cooking method",9152,"Lemon juice, raw",5.167
26153110,"Tuna, fresh, cooked, NS as to cooking method",15127,"Fish, tuna, fresh, yellowfin, raw",453.6
26153120,"Tuna, fresh, baked or broiled, fat added",2047,"Salt, table, iodized",3
26153120,"Tuna, fresh, baked or broiled, fat added",4322,"Vegetable oil, averaged",14
26153120,"Tuna, fresh, baked or broiled, fat added",9152,"Lemon juice, raw",5.167
26153120,"Tuna, fresh, baked or broiled, fat added",15127,"Fish, tuna, fresh, yellowfin, raw",453.6
26153122,"Tuna, fresh, baked or broiled, no added fat",2047,"Salt, table, iodized",3
26153122,"Tuna, fresh, baked or broiled, no added fat",9152,"Lemon juice, raw",5.167
26153122,"Tuna, fresh, baked or broiled, no added fat",15127,"Fish, tuna, fresh, yellowfin, raw",453.6
26153130,"Tuna, fresh, coated, baked or broiled, fat added",1111,"Milk, averaged fat, with added vitamin A and D",61
26153130,"Tuna, fresh, coated, baked or broiled, fat added",2030,"Spices, pepper, black",0.267
26153130,"Tuna, fresh, coated, baked or broiled, fat added",2047,"Salt, table, iodized",3
26153130,"Tuna, fresh, coated, baked or broiled, fat added",4322,"Vegetable oil, averaged",28
26153130,"Tuna, fresh, coated, baked or broiled, fat added",15127,"Fish, tuna, fresh, yellowfin, raw",453.6
26153130,"Tuna, fresh, coated, baked or broiled, fat added",18079,"Bread, crumbs, dry, grated, plain",35.996
26153130,"Tuna, fresh, coated, baked or broiled, fat added",20081,"Wheat flour, white, all-purpose, enriched, bleached",41.663
26153131,"Tuna, fresh, coated, baked or broiled, no added fat",1111,"Milk, averaged fat, with added vitamin A and D",61
26153131,"Tuna, fresh, coated, baked or broiled, no added fat",2030,"Spices, pepper, black",0.267
26153131,"Tuna, fresh, coated, baked or broiled, no added fat",2047,"Salt, table, iodized",3
26153131,"Tuna, fresh, coated, baked or broiled, no added fat",15127,"Fish, tuna, fresh, yellowfin, raw",453.6
26153131,"Tuna, fresh, coated, baked or broiled, no added fat",18079,"Bread, crumbs, dry, grated, plain",35.996
26153131,"Tuna, fresh, coated, baked or broiled, no added fat",20081,"Wheat flour, white, all-purpose, enriched, bleached",41.663
26153140,"Tuna, fresh, coated, fried",1123,"Egg, whole, raw, fresh",50
26153140,"Tuna, fresh, coated, fried",2030,"Spices, pepper, black",0.267
26153140,"Tuna, fresh, coated, fried",2047,"Salt, table, iodized",3
26153140,"Tuna, fresh, coated, fried",4322,"Vegetable oil, averaged",46.3
26153140,"Tuna, fresh, coated, fried",15127,"Fish, tuna, fresh, yellowfin, raw",453.6
26153140,"Tuna, fresh, coated, fried",18079,"Bread, crumbs, dry, grated, plain",72.004
26153160,"Tuna, fresh, steamed or poached",2047,"Salt, table, iodized",3
26153160,"Tuna, fresh, steamed or poached",15127,"Fish, tuna, fresh, yellowfin, raw",453.6
26153170,"Tuna, fresh, dried",15127,"Fish, tuna, fresh, yellowfin, raw",100
26153190,"Tuna, fresh, smoked",2047,"Salt, table, iodized",0.75
